iteracion,timestamp,t_prediccion_us,t_update_us,t_callback_total_us,n_landmarks_visibles
4,1779738711.724,219710.634,377435.112,628745.380,4
8,1779738711.900,74078.536,99012.739,173771.291,4
12,1779738712.120,34829.493,181802.804,218525.334,4
16,1779738712.359,145189.405,92913.735,238826.666,4
20,1779738712.507,36914.062,106697.290,147181.933,4
24,1779738712.592,25695.411,56163.065,83631.032,4
28,1779738712.808,135872.181,79426.593,215977.871,4
32,1779738712.924,50108.300,64247.939,115012.674,4
36,1779738713.135,50061.260,130918.066,181667.172,4
40,1779738713.292,41044.828,103863.065,145618.029,4
44,1779738713.495,62165.419,92988.866,155827.041,4
48,1779738713.811,174962.653,100114.459,275758.169,4
52,1779738713.927,31130.260,83126.977,114918.823,4
56,1779738714.112,40462.034,125553.988,166974.210,4
60,1779738714.219,23332.699,50760.285,75132.485,4
64,1779738714.535,43327.419,140539.443,185033.473,4
68,1779738714.707,43508.791,92882.474,139140.031,4
72,1779738714.931,44668.412,132970.706,178369.903,4
76,1779738715.139,58833.459,106351.864,165855.660,4
80,1779738715.354,32611.604,169515.232,202775.683,4
84,1779738715.532,56218.305,106473.737,163384.129,4
88,1779738715.716,49144.552,107998.852,157815.349,4
92,1779738715.928,77443.726,98199.003,176327.795,4
96,1779738716.318,98038.081,249955.177,348659.825,4
100,1779738716.823,282675.051,221092.037,504446.415,4
104,1779738717.326,256245.294,245294.736,502208.675,4
108,1779738717.562,66765.691,164610.820,232058.756,4
112,1779738717.749,61256.241,115137.646,177069.402,4
116,1779738717.935,56083.244,105345.317,162098.547,4
120,1779738718.627,188352.704,295233.186,484262.115,4
124,1779738719.036,123597.831,281909.455,408297.922,4
128,1779738719.292,181547.592,72968.957,255189.015,4
132,1779738719.448,26394.468,127719.429,155369.387,4
136,1779738719.529,23730.573,53032.546,77818.950,4
140,1779738719.634,29283.353,61127.941,91075.589,4
144,1779738719.834,31354.182,56199.714,88220.633,4
148,1779738720.046,37219.045,70874.718,108754.598,4
152,1779738720.241,39423.645,52318.961,92548.072,4
156,1779738720.412,23854.375,51648.766,76603.279,4
160,1779738720.636,29738.957,63006.967,93417.910,4
164,1779738720.850,28903.760,85027.015,114599.431,4
168,1779738720.935,29784.848,53965.914,84399.019,4
172,1779738721.037,27095.734,63582.600,91409.272,4
176,1779738721.242,28541.506,69453.694,98712.278,4
180,1779738721.422,26981.772,53167.467,80918.238,4
184,1779738721.626,26838.772,61329.021,89008.820,4
188,1779738721.839,37431.997,61854.365,100017.199,4
192,1779738722.036,36288.707,62056.239,99016.230,4
196,1779738722.188,25658.650,53077.517,80154.701,4
200,1779738722.273,25413.528,57407.455,83493.601,4
204,1779738722.422,31517.003,54294.687,86484.998,4
208,1779738722.629,33154.658,58765.367,94256.598,4
212,1779738722.826,32151.079,57491.787,90291.682,4
216,1779738723.029,30997.429,58858.578,91247.800,4
220,1779738723.229,33524.922,58889.700,93093.917,4
224,1779738723.434,34019.466,64232.518,98905.090,4
228,1779738723.535,32516.852,67452.276,100601.045,4
232,1779738723.629,27754.369,56290.616,84708.142,4
236,1779738723.831,34987.894,59645.728,95656.911,4
240,1779738724.028,28946.550,57857.599,90749.706,4
244,1779738724.246,36320.237,65882.994,110653.875,4
248,1779738724.434,28151.644,63227.069,92402.741,4
252,1779738724.629,24785.383,59148.303,84764.803,4
256,1779738724.835,32851.125,67247.104,100743.936,4
260,1779738724.923,30112.471,56076.144,86855.391,4
264,1779738725.039,40162.261,60983.788,101836.507,4
268,1779738725.234,30777.917,65501.880,96947.422,4
272,1779738725.433,30938.809,59420.915,91148.540,4
276,1779738725.625,25563.640,52339.761,78827.490,4
280,1779738725.842,31408.473,62928.526,95003.544,4
284,1779738726.043,29994.840,75249.717,105910.062,4
288,1779738726.158,35015.415,62672.822,98341.805,4
292,1779738726.248,37413.127,50340.273,88392.375,4
296,1779738726.424,29986.420,57777.580,88645.287,4
300,1779738726.639,25676.171,67084.302,93418.770,4
304,1779738726.832,29783.128,63777.134,94567.931,4
308,1779738727.041,33571.952,71303.623,105538.370,4
312,1779738727.238,29958.600,61981.677,92625.603,4
316,1779738727.420,28133.113,55180.026,84871.524,4
320,1779738727.504,25877.592,56529.239,83119.318,4
324,1779738727.633,29722.897,64543.791,94928.585,4
328,1779738727.822,31279.062,54522.920,86499.819,4
332,1779738728.043,36711.320,67351.385,104720.272,4
336,1779738728.221,25821.762,58652.869,85147.836,4
340,1779738728.425,31808.116,56773.580,89452.555,4
344,1779738728.628,26405.377,54921.355,82023.078,4
348,1779738728.788,26132.445,61810.825,88772.819,4
352,1779738728.887,29230.113,68654.029,98548.277,4
356,1779738729.030,29392.394,62987.687,94126.837,4
360,1779738729.246,37159.944,71676.036,109508.125,4
364,1779738729.429,29953.939,61257.001,92292.771,4
368,1779738729.617,24106.517,51531.354,76495.498,4
372,1779738729.824,26491.088,59828.839,86990.453,4
376,1779738730.052,31248.482,80449.135,112979.297,4
380,1779738730.145,30727.297,61463.163,92860.546,4
384,1779738730.224,25269.648,51885.907,77848.491,4
388,1779738730.449,33997.746,68924.861,103594.672,4
392,1779738730.638,38013.572,62989.717,102158.770,4
396,1779738730.835,32848.535,65360.688,98856.840,4
400,1779738731.042,36965.413,66261.676,103880.755,4
404,1779738731.228,27537.617,62903.637,91102.370,4
408,1779738731.441,36058.495,67200.554,104212.088,4
412,1779738731.528,27167.105,57562.198,85993.034,4
416,1779738731.624,27438.767,58156.974,86889.772,4
420,1779738731.847,37511.187,63124.169,101306.692,4
424,1779738732.045,44451.081,55694.672,100984.209,4
428,1779738732.242,36851.872,55824.833,98149.744,4
432,1779738732.438,29603.666,64264.809,94559.491,4
436,1779738732.632,29408.195,59317.093,89384.304,4
440,1779738732.756,26873.692,55489.799,83008.987,4
444,1779738732.849,31318.492,60319.743,92316.681,4
448,1779738733.038,37212.985,60409.065,98365.236,4
452,1779738733.233,36393.187,59912.449,97095.784,4
456,1779738733.429,29740.198,56247.897,86632.579,4
460,1779738733.623,28570.787,56274.465,86198.736,4
464,1779738733.839,34107.117,58110.222,92940.837,4
468,1779738734.033,27006.844,65761.091,93815.054,4
472,1779738734.120,26270.087,59340.673,86243.046,4
476,1779738734.235,31840.677,67451.837,100033.741,4
480,1779738734.417,23107.928,54344.000,78116.654,4
484,1779738734.638,31821.196,68687.698,101159.631,4
488,1779738734.830,29220.303,62927.746,93097.888,4
492,1779738735.042,30163.721,69429.235,100275.013,4
496,1779738735.237,27354.096,64081.515,92199.020,4
500,1779738735.420,28033.552,54866.414,83581.753,4
504,1779738735.503,24815.243,56042.645,81517.344,4
508,1779738735.628,25905.983,55038.456,82162.130,4
512,1779738735.834,37579.468,54243.028,92520.533,4
516,1779738736.018,23900.055,54672.373,79427.575,4
520,1779738736.220,24290.579,52358.571,77437.378,4
524,1779738736.433,33217.129,62505.074,96380.878,4
528,1779738736.636,27277.416,62059.599,90009.021,4
532,1779738736.785,35019.005,62329.500,97991.163,4
536,1779738736.863,23420.841,50410.655,76204.396,4
540,1779738737.024,25705.722,58105.853,85522.470,4
544,1779738737.230,28550.367,57542.237,86916.202,4
548,1779738737.426,23278.000,58985.991,87454.657,4
552,1779738737.636,35513.200,63310.140,99748.579,4
556,1779738737.832,28606.767,64724.853,94002.517,4
560,1779738738.040,26481.879,70167.942,97311.296,4
564,1779738738.129,28848.629,59443.015,88971.751,4
568,1779738738.241,32825.825,66109.846,99606.407,4
572,1779738738.437,31818.806,67356.257,99845.230,4
576,1779738738.631,30178.831,59259.732,90098.141,4
580,1779738738.834,31509.074,65265.878,97456.307,4
584,1779738739.036,37268.295,59719.987,97773.411,4
588,1779738739.241,29938.060,67842.761,98515.107,4
592,1779738739.423,29457.955,58791.498,88946.601,4
596,1779738739.506,26003.945,56018.345,82657.384,4
600,1779738739.617,24864.444,53371.130,78907.771,4
604,1779738739.836,30820.568,66775.112,98737.589,4
608,1779738740.057,34329.299,77812.031,113000.008,4
612,1779738740.223,26966.903,58558.636,86204.236,4
616,1779738740.431,30462.745,62316.372,93689.374,4
620,1779738740.648,36698.151,62872.407,100235.643,4
624,1779738740.745,29903.099,62875.214,93425.902,4
628,1779738740.839,28352.726,63230.980,92240.851,4
632,1779738741.044,29317.314,70738.388,100726.288,4
636,1779738741.227,26529.599,54847.076,82066.020,4
640,1779738741.435,31243.762,65259.119,97147.785,4
644,1779738741.635,31896.037,62765.436,95328.059,4
648,1779738741.836,35585.321,62261.940,98754.420,4
652,1779738742.044,34276.719,66771.911,101713.006,4
656,1779738742.121,24977.875,50596.945,76232.337,4
660,1779738742.224,25296.778,51538.095,77515.118,4
664,1779738742.436,37694.749,60712.617,99073.583,4
668,1779738742.626,26089.735,62346.390,89477.276,4
672,1779738742.846,35935.704,67285.496,109276.865,4
676,1779738743.027,25236.347,58629.328,84529.232,4
680,1779738743.239,39323.224,58987.351,101470.524,4
684,1779738743.360,22610.274,48998.872,72252.521,4
688,1779738743.436,26494.608,48234.564,75364.019,4
692,1779738743.641,28735.099,59036.192,89018.252,4
696,1779738743.831,37172.955,55985.693,93883.055,4
700,1779738744.046,37864.331,68969.521,108046.603,4
704,1779738744.221,30657.606,52816.055,84152.679,4
708,1779738744.427,24714.433,54952.605,80346.234,4
712,1779738744.638,32845.656,60078.631,93587.313,4
716,1779738744.723,26740.231,57313.567,84687.063,4
720,1779738744.842,35100.916,69162.164,104919.556,4
724,1779738745.031,30233.012,57046.214,88087.764,4
728,1779738745.229,22648.034,55565.571,78898.460,4
732,1779738745.423,28280.745,48149.755,77395.008,4
736,1779738745.638,26677.030,65437.801,92783.357,4
740,1779738745.840,32393.762,67907.841,101646.306,4
744,1779738746.036,34780.433,56864.614,92342.632,4
748,1779738746.117,24349.770,55597.161,80831.078,4
752,1779738746.229,26434.898,60788.827,89104.733,4
756,1779738746.423,24307.959,60026.681,85079.867,4
760,1779738746.628,25584.570,59123.074,86221.397,4
764,1779738746.836,29435.375,59541.306,89753.098,4
768,1779738747.048,36089.735,71335.174,108090.054,4
772,1779738747.234,31992.019,55191.788,87862.522,4
776,1779738747.340,24925.864,50374.934,76074.866,4
780,1779738747.427,27859.731,53121.738,82060.950,4
784,1779738747.623,26885.182,49860.718,77454.128,4
788,1779738747.844,32186.450,68524.628,106057.566,4
792,1779738748.051,30752.027,68923.990,106023.456,4
796,1779738748.226,27332.336,59700.769,87856.112,4
800,1779738748.448,37542.329,64402.260,106132.336,4
804,1779738748.642,30364.633,67383.347,98542.508,4
808,1779738748.728,32681.624,52407.211,85723.463,4
812,1779738748.832,26595.769,54480.901,81796.187,4
816,1779738749.039,36236.566,58066.843,94974.236,4
820,1779738749.214,23273.660,48819.700,72789.676,4
824,1779738749.443,26270.467,65345.940,92273.192,4
828,1779738749.631,33155.599,50290.094,84132.078,4
832,1779738749.840,27888.341,70535.426,99094.434,4
836,1779738750.003,23673.254,67064.996,91502.164,4
840,1779738750.081,25067.136,51467.174,77181.456,4
844,1779738750.225,28738.789,58150.024,87696.891,4
848,1779738750.437,33576.313,58930.511,93163.350,4
852,1779738750.642,31111.670,59956.340,91882.138,4
856,1779738750.825,32054.509,54072.228,86928.714,4
860,1779738751.037,28763.799,65309.637,94806.034,4
864,1779738751.234,30231.252,53066.428,83967.537,4
868,1779738751.317,22037.159,51219.780,73892.016,4
872,1779738751.425,28777.180,56686.371,86157.797,4
876,1779738751.634,33733.264,57967.172,96232.477,4
880,1779738751.832,23811.635,65259.179,90532.126,4
884,1779738752.044,33748.524,66142.156,101368.514,4
888,1779738752.244,35038.835,57408.618,93119.790,4
892,1779738752.429,27008.674,55282.067,82974.659,4
896,1779738752.617,30333.764,47090.666,78059.604,4
900,1779738752.687,21469.114,46965.074,69055.883,4
904,1779738752.828,28814.050,57527.620,87046.185,4
908,1779738753.043,30411.224,69263.613,100355.025,4
912,1779738753.246,32442.692,64640.762,99399.726,4
916,1779738753.419,22689.744,54003.677,77491.389,4
920,1779738753.634,30078.571,49649.948,80435.126,4
924,1779738753.827,28664.279,59544.157,88950.242,4
928,1779738754.014,26017.735,68996.363,95706.633,4
932,1779738754.102,27325.497,57991.283,86132.396,4
936,1779738754.243,30225.873,65300.200,96690.072,4
940,1779738754.433,26560.849,63061.389,90303.754,4
944,1779738754.629,32231.281,54939.996,87865.063,4
948,1779738754.837,31062.740,63939.697,95664.642,4
952,1779738755.029,27382.567,59442.756,87495.760,4
956,1779738755.233,27126.694,63628.613,91424.795,4
960,1779738755.339,31676.776,55728.613,88517.868,4
964,1779738755.432,26594.310,60991.231,88255.666,4
968,1779738755.613,22889.246,48049.194,71631.916,4
972,1779738755.845,33084.718,68445.117,102199.482,4
976,1779738756.024,23843.575,59139.863,83821.146,4
980,1779738756.228,25247.888,55594.172,81544.035,4
984,1779738756.433,32451.123,58250.657,91362.674,4
988,1779738756.649,30694.207,72182.002,103524.453,4
992,1779738756.734,31450.233,52335.461,84452.772,4
996,1779738756.838,33199.359,61985.499,95839.195,4
1000,1779738757.040,31342.362,64704.482,97407.709,4
1004,1779738757.218,23144.468,52585.124,76411.529,4
1008,1779738757.435,33507.182,59389.784,93553.444,4
1012,1779738757.635,27453.607,65980.874,94090.279,4
1016,1779738757.854,35731.442,71321.083,107718.672,4
1020,1779738757.993,28842.190,65242.228,95271.419,4
1024,1779738758.083,24832.654,62469.574,88985.693,4
1028,1779738758.216,21481.184,52145.789,74284.840,4
1032,1779738758.432,27354.007,61857.478,90129.363,4
1036,1779738758.648,35860.894,65572.272,106441.221,4
1040,1779738758.829,24920.894,61267.403,86915.544,4
1044,1779738759.052,36590.640,70115.593,108364.758,4
1048,1779738759.245,33294.710,64889.066,99008.443,4
1052,1779738759.345,33088.478,64395.161,98572.589,4
1056,1779738759.431,27872.511,55846.334,84933.296,4
1060,1779738759.628,27537.329,57449.030,85661.693,4
1064,1779738759.833,28477.927,64234.868,93499.383,4
1068,1779738760.023,27918.632,51397.224,80148.133,4
1072,1779738760.218,23703.384,52521.754,76895.464,4
1076,1779738760.425,25564.591,56831.103,83581.604,4
1080,1779738760.660,35968.474,76637.411,113247.982,4
1084,1779738760.762,38477.957,59400.626,98533.369,4
1088,1779738760.860,37218.926,58781.752,97757.372,4
1092,1779738761.037,28726.179,61830.848,91226.533,4
1096,1779738761.239,33270.270,62392.044,96529.351,4
1100,1779738761.442,36527.040,53340.862,91051.471,4
1104,1779738761.653,35575.441,65330.499,101568.016,4
1108,1779738761.831,27299.867,60335.785,88299.476,4
1112,1779738761.994,28516.788,67358.249,96546.541,4
1116,1779738762.086,28310.385,62334.562,91304.224,4
1120,1779738762.233,27133.795,61032.471,88840.442,4
1124,1779738762.433,30455.265,55649.591,86785.723,4
1128,1779738762.637,28524.087,63929.917,93089.250,4
1132,1779738762.826,30392.085,53712.304,84778.045,4
1136,1779738763.039,30058.862,62142.640,92873.128,4
1140,1779738763.241,32483.503,58560.480,95447.841,4
1144,1779738763.332,35751.482,53602.303,89981.162,4
1148,1779738763.424,23394.051,56069.336,80360.885,4
1152,1779738763.630,27743.860,62006.179,90424.576,4
1156,1779738763.845,25826.653,71624.135,104111.769,4
1160,1779738764.044,26588.980,72298.742,100329.115,4
1164,1779738764.225,25527.810,55758.134,82064.831,4
1168,1779738764.421,22754.435,51303.063,74913.356,4
1172,1779738764.645,36783.722,70177.072,107626.252,4
1176,1779738764.722,23965.376,51769.357,76455.371,4
1180,1779738764.818,22931.037,52055.801,75653.803,4
1184,1779738765.032,26008.375,65543.982,92220.332,4
1188,1779738765.223,23553.473,52927.656,77256.577,4
1192,1779738765.436,31606.405,63652.245,95917.446,4
1196,1779738765.648,34726.084,65187.959,101022.621,4
1200,1779738765.847,30863.388,65872.924,97439.269,4
1204,1779738765.936,27360.257,55709.294,83723.446,4
1208,1779738766.037,25663.191,63410.232,90912.391,4
1212,1779738766.227,24069.577,58070.515,82807.177,4
1216,1779738766.428,23601.903,61637.686,86083.057,4
1220,1779738766.627,22866.446,53187.790,76714.132,4
1224,1779738766.830,26946.773,60658.858,88322.297,4
1228,1779738767.031,26730.452,59618.148,87028.115,4
1232,1779738767.243,39996.721,56296.069,97435.450,4
1236,1779738767.340,25173.257,69796.310,95619.044,4
1240,1779738767.433,30096.501,59765.378,90539.757,4
1244,1779738767.637,27016.604,64369.802,93021.000,4
1248,1779738767.842,31812.937,66789.274,99788.200,4
1252,1779738768.056,39369.025,72376.653,112406.375,4
1256,1779738768.244,35478.420,60989.840,97638.372,4
1260,1779738768.431,29528.887,51194.093,81385.415,4
1264,1779738768.573,25456.250,61504.805,87725.582,4
1268,1779738768.656,25260.328,56020.486,81922.930,4
1272,1779738768.847,34727.623,61523.424,96928.585,4
1276,1779738769.047,39003.892,61292.774,103525.025,4
1280,1779738769.248,34397.951,66671.803,101715.399,4
1284,1779738769.345,30677.487,65281.539,96616.082,4
1288,1779738769.445,28238.725,64801.735,93703.226,4
1292,1779738769.633,29149.573,60163.263,90192.545,4
1296,1779738769.851,39155.224,61246.874,101060.502,4
1300,1779738770.036,37992.853,53616.515,92378.124,4
1304,1779738770.238,31843.397,59402.826,91960.661,4
1308,1779738770.430,26008.104,62056.531,88777.981,4
1312,1779738770.560,26568.560,64171.379,91407.165,4
1316,1779738770.655,32845.077,60586.859,94132.369,4
1320,1779738770.830,26655.551,59227.083,86595.672,4
1324,1779738771.051,40291.334,64699.544,105708.825,4
1328,1779738771.226,32041.729,52421.954,85265.860,4
1332,1779738771.436,30279.774,62227.762,93334.053,4
1336,1779738771.640,28573.438,64018.919,93459.714,4
1340,1779738771.839,37843.352,58564.048,97477.360,4
1344,1779738771.929,31167.691,56884.382,89479.688,4
1348,1779738772.030,22983.787,58179.296,81891.910,4
1352,1779738772.238,31322.283,64580.523,96583.882,4
1356,1779738772.432,29241.454,59809.590,89715.210,4
1360,1779738772.642,34839.855,64455.792,99954.202,4
1364,1779738772.828,25442.869,59755.600,86364.760,4
1368,1779738773.052,39759.199,67394.418,108605.690,4
1372,1779738773.188,23810.255,56156.767,80609.298,4
1376,1779738773.273,25366.299,58271.016,84290.361,4
1380,1779738773.420,21545.055,54049.969,76400.780,4
1384,1779738773.647,32139.800,67765.652,100662.519,4
1388,1779738773.842,30645.377,65130.539,96422.691,4
1392,1779738774.053,31864.488,76251.850,109266.067,4
1396,1779738774.231,32300.012,56302.219,89537.958,4
1400,1779738774.453,36954.114,74018.868,112192.283,4
1404,1779738774.554,37091.295,61065.682,98868.363,4
1408,1779738774.633,26825.362,51215.693,78711.701,4
1412,1779738774.827,27645.060,55686.873,85223.689,4
1416,1779738775.050,36934.894,65624.153,103872.749,4
1420,1779738775.232,28461.547,59722.650,89215.526,4
1424,1779738775.433,30078.952,59803.160,90560.268,4
1428,1779738775.637,30933.889,61486.744,93095.291,4
1432,1779738775.839,27093.324,65343.931,93085.851,4
1436,1779738775.934,29723.448,63888.707,94944.078,4
1440,1779738776.050,38089.184,66349.751,105127.900,4
1444,1779738776.220,26875.273,50852.711,78393.488,4
1448,1779738776.428,25820.614,56235.738,82729.537,4
1452,1779738776.640,29869.350,67654.470,98185.007,4
1456,1779738776.835,26575.830,63675.395,92304.374,4
1460,1779738777.044,30028.681,68753.471,99456.669,4
1464,1779738777.173,27475.348,59017.913,87177.607,4
1468,1779738777.256,28486.417,53795.146,82927.959,4
1472,1779738777.434,26559.710,61515.035,88896.873,4
1476,1779738777.638,33299.291,52949.298,86925.095,4
1480,1779738777.847,35170.238,69609.679,105449.923,4
1484,1779738777.936,38808.920,48926.562,88393.419,4
1488,1779738778.064,30742.437,83454.654,114870.718,4
1492,1779738778.234,28667.169,61564.127,91471.626,4
1496,1779738778.418,22106.129,52617.744,76061.937,4
1500,1779738778.633,27839.681,59411.946,87907.694,4
1504,1779738778.823,27165.485,52362.552,81689.418,4
1508,1779738779.040,32329.772,62422.423,95428.312,4
1512,1779738779.149,30650.417,52356.643,83660.095,4
1516,1779738779.246,32959.537,62147.889,96421.111,4
1520,1779738779.453,46394.559,56370.881,103451.255,4
1524,1779738779.646,30216.533,65017.866,96031.567,4
1528,1779738779.840,33098.389,61604.867,96533.512,4
1532,1779738780.035,33925.136,56105.587,90730.130,4
1536,1779738780.236,27211.735,62140.241,90510.688,4
1540,1779738780.449,26542.820,70743.880,97933.305,4
1544,1779738780.534,25578.661,58281.518,84513.294,4
1548,1779738780.638,28675.209,59450.416,88834.923,4
1552,1779738780.833,28681.129,57276.327,86629.613,4
1556,1779738781.038,33476.972,57316.599,91471.667,4
1560,1779738781.239,32769.087,61788.728,95219.480,4
1564,1779738781.436,27073.925,62300.453,90033.774,4
1568,1779738781.634,31517.525,59115.574,91360.906,4
1572,1779738781.808,25774.853,64248.642,90683.940,4
1576,1779738781.900,27564.899,62157.442,90381.237,4
1580,1779738782.040,30695.217,59505.888,91023.503,4
1584,1779738782.237,28532.328,63928.616,93236.782,4
1588,1779738782.430,24043.817,55119.596,79893.802,4
1592,1779738782.647,32859.617,69744.201,103339.044,4
1596,1779738782.819,25127.307,51095.890,76864.145,4
1600,1779738783.043,33000.328,62591.426,96242.220,4
1604,1779738783.133,31200.112,58075.075,89910.073,4
1608,1779738783.237,23860.406,66250.239,90846.321,4
1612,1779738783.433,36599.731,54029.590,91292.175,4
1616,1779738783.645,32545.904,60766.290,94002.539,4
1620,1779738783.841,42740.376,52519.875,95926.007,4
1624,1779738784.050,35177.808,69233.826,105156.530,4
1628,1779738784.229,24176.518,58498.098,83335.293,4
1632,1779738784.447,39295.465,56016.688,97158.979,4
1636,1779738784.524,21631.096,52902.349,76053.517,4
1640,1779738784.629,22151.730,54765.234,83825.077,4
1644,1779738784.845,37179.986,60503.697,98347.239,4
1648,1779738785.051,38760.011,65824.525,105252.951,4
1652,1779738785.242,32404.563,64644.294,98899.384,4
1656,1779738785.418,24912.735,49848.930,75583.413,4
1660,1779738785.651,34669.954,65452.102,100840.661,4
1664,1779738785.749,24837.165,50841.181,76329.830,4
1668,1779738785.836,24441.201,56102.075,81199.304,4
1672,1779738786.061,44172.139,70444.358,115303.553,4
1676,1779738786.229,27107.325,58321.566,87425.620,4
1680,1779738786.427,23380.391,52699.856,76858.025,4
1684,1779738786.646,30726.638,66813.502,98207.658,4
1688,1779738786.828,31299.703,49979.012,81935.891,4
1692,1779738787.045,30039.751,67562.792,98257.288,4
1696,1779738787.139,26757.772,64690.905,93370.564,4
1700,1779738787.237,33737.875,58689.790,93879.319,4
1704,1779738787.436,32626.695,59462.159,93598.076,4
1708,1779738787.637,35277.399,59197.404,95193.011,4
1712,1779738787.829,28657.149,52888.048,82654.358,4
1716,1779738788.051,40868.130,65962.836,107588.962,4
1720,1779738788.240,29635.428,61227.513,94030.420,4
1724,1779738788.398,28863.361,64825.836,94336.043,4
1728,1779738788.496,30015.802,66901.834,97576.332,4
1732,1779738788.646,32094.700,69809.232,102572.908,4
1736,1779738788.833,28497.088,60076.091,89365.268,4
